table_name,column_name,data_type,is_nullable,column_default,referenced_table,referenced_column,constraint_name
jt_ent_capabilities_ent_it_systems_join,ent_it_systems_year,integer,YES,null,ent_it_systems,year,jt_ent_capabilities_ent_it_sy_ent_it_systems_id_ent_it_sys_fkey
jt_ent_capabilities_ent_it_systems_join,uid,bigint,NO,nextval('jt_ent_capabilities_ent_it_systems_join_uid_seq'::regclass),null,null,null
jt_ent_capabilities_ent_org_units_join,ent_capabilities_id,character varying,YES,null,ent_capabilities,id,jt_ent_capabilities_ent_org_u_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_org_units_join,ent_capabilities_id,character varying,YES,null,ent_capabilities,year,jt_ent_capabilities_ent_org_u_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_org_units_join,ent_capabilities_year,integer,YES,null,ent_capabilities,id,jt_ent_capabilities_ent_org_u_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_org_units_join,ent_capabilities_year,integer,YES,null,ent_capabilities,year,jt_ent_capabilities_ent_org_u_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_org_units_join,ent_org_units_id,character varying,YES,null,ent_org_units,id,jt_ent_capabilities_ent_org_u_ent_org_units_id_ent_org_uni_fkey
jt_ent_capabilities_ent_org_units_join,ent_org_units_id,character varying,YES,null,ent_org_units,year,jt_ent_capabilities_ent_org_u_ent_org_units_id_ent_org_uni_fkey
jt_ent_capabilities_ent_org_units_join,ent_org_units_year,integer,YES,null,ent_org_units,id,jt_ent_capabilities_ent_org_u_ent_org_units_id_ent_org_uni_fkey
jt_ent_capabilities_ent_org_units_join,ent_org_units_year,integer,YES,null,ent_org_units,year,jt_ent_capabilities_ent_org_u_ent_org_units_id_ent_org_uni_fkey
jt_ent_capabilities_ent_org_units_join,uid,bigint,NO,nextval('jt_ent_capabilities_ent_org_units_join_uid_seq'::regclass),null,null,null
jt_ent_capabilities_ent_processes_join,ent_capabilities_id,character varying,YES,null,ent_capabilities,year,jt_ent_capabilities_ent_proce_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_processes_join,ent_capabilities_id,character varying,YES,null,ent_capabilities,id,jt_ent_capabilities_ent_proce_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_processes_join,ent_capabilities_year,integer,YES,null,ent_capabilities,year,jt_ent_capabilities_ent_proce_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_processes_join,ent_capabilities_year,integer,YES,null,ent_capabilities,id,jt_ent_capabilities_ent_proce_ent_capabilities_id_ent_capa_fkey
jt_ent_capabilities_ent_processes_join,ent_processes_id,character varying,YES,null,ent_processes,id,jt_ent_capabilities_ent_proce_ent_processes_id_ent_process_fkey
jt_ent_capabilities_ent_processes_join,ent_processes_id,character varying,YES,null,ent_processes,year,jt_ent_capabilities_ent_proce_ent_processes_id_ent_process_fkey
jt_ent_capabilities_ent_processes_join,ent_processes_year,integer,YES,null,ent_processes,year,jt_ent_capabilities_ent_proce_ent_processes_id_ent_process_fkey
jt_ent_capabilities_ent_processes_join,ent_processes_year,integer,YES,null,ent_processes,id,jt_ent_capabilities_ent_proce_ent_processes_id_ent_process_fkey
jt_ent_capabilities_ent_processes_join,uid,bigint,NO,nextval('jt_ent_capabilities_ent_processes_join_uid_seq'::regclass),null,null,null
jt_ent_it_systems_ent_vendors_join,uid,bigint,NO,null,null,null,null
jt_ent_it_systems_ent_vendors_join,ent_it_systems_id,character varying,NO,null,ent_it_systems,year,jt_ent_it_systems_ent_vendors_ent_it_systems_id_ent_it_sys_fkey
jt_ent_it_systems_ent_vendors_join,ent_it_systems_id,character varying,NO,null,ent_it_systems,id,jt_ent_it_systems_ent_vendors_ent_it_systems_id_ent_it_sys_fkey
jt_ent_it_systems_ent_vendors_join,ent_it_systems_year,integer,NO,null,ent_it_systems,id,jt_ent_it_systems_ent_vendors_ent_it_systems_id_ent_it_sys_fkey
jt_ent_it_systems_ent_vendors_join,ent_it_systems_year,integer,NO,null,ent_it_systems,year,jt_ent_it_systems_ent_vendors_ent_it_systems_id_ent_it_sys_fkey
jt_ent_it_systems_ent_vendors_join,ent_vendors_id,character varying,NO,null,ent_vendors,year,jt_ent_it_systems_ent_vendors_ent_vendors_id_ent_vendors_y_fkey
jt_ent_it_systems_ent_vendors_join,ent_vendors_id,character varying,NO,null,ent_vendors,id,jt_ent_it_systems_ent_vendors_ent_vendors_id_ent_vendors_y_fkey
jt_ent_it_systems_ent_vendors_join,ent_vendors_year,integer,NO,null,ent_vendors,year,jt_ent_it_systems_ent_vendors_ent_vendors_id_ent_vendors_y_fkey
jt_ent_it_systems_ent_vendors_join,ent_vendors_year,integer,NO,null,ent_vendors,id,jt_ent_it_systems_ent_vendors_ent_vendors_id_ent_vendors_y_fkey
jt_ent_it_systems_ent_vendors_join,sla_details,text,YES,null,null,null,null
jt_ent_org_units_ent_culture_health_join,uid,integer,NO,nextval('jt_ent_org_units_ent_culture_health_join_uid_seq'::regclass),null,null,null
jt_ent_org_units_ent_culture_health_join,ent_org_units_id,text,NO,null,ent_org_units,year,fk_orgunit
jt_ent_org_units_ent_culture_health_join,ent_org_units_id,text,NO,null,ent_org_units,id,fk_orgunit
jt_ent_org_units_ent_culture_health_join,ent_org_units_year,integer,NO,null,ent_org_units,id,fk_orgunit
jt_ent_org_units_ent_culture_health_join,ent_org_units_year,integer,NO,null,ent_org_units,year,fk_orgunit
jt_ent_org_units_ent_culture_health_join,ent_culture_health_id,text,NO,null,ent_culture_health,year,fk_culture
jt_ent_org_units_ent_culture_health_join,ent_culture_health_id,text,NO,null,ent_culture_health,id,fk_culture
jt_ent_org_units_ent_culture_health_join,ent_culture_health_year,integer,NO,null,ent_culture_health,id,fk_culture
jt_ent_org_units_ent_culture_health_join,ent_culture_health_year,integer,NO,null,ent_culture_health,year,fk_culture
jt_ent_org_units_ent_processes_join,uid,bigint,NO,null,null,null,null
jt_ent_org_units_ent_processes_join,ent_org_units_id,character varying,NO,null,ent_org_units,id,jt_ent_org_units_ent_processe_ent_org_units_id_ent_org_uni_fkey
jt_ent_org_units_ent_processes_join,ent_org_units_id,character varying,NO,null,ent_org_units,year,jt_ent_org_units_ent_processe_ent_org_units_id_ent_org_uni_fkey
jt_ent_org_units_ent_processes_join,ent_org_units_year,integer,NO,null,ent_org_units,id,jt_ent_org_units_ent_processe_ent_org_units_id_ent_org_uni_fkey
jt_ent_org_units_ent_processes_join,ent_org_units_year,integer,NO,null,ent_org_units,year,jt_ent_org_units_ent_processe_ent_org_units_id_ent_org_uni_fkey
jt_ent_org_units_ent_processes_join,ent_processes_id,character varying,NO,null,ent_processes,year,jt_ent_org_units_ent_processe_ent_processes_id_ent_process_fkey
jt_ent_org_units_ent_processes_join,ent_processes_id,character varying,NO,null,ent_processes,id,jt_ent_org_units_ent_processe_ent_processes_id_ent_process_fkey
jt_ent_org_units_ent_processes_join,ent_processes_year,integer,NO,null,ent_processes,id,jt_ent_org_units_ent_processe_ent_processes_id_ent_process_fkey
jt_ent_org_units_ent_processes_join,ent_processes_year,integer,NO,null,ent_processes,year,jt_ent_org_units_ent_processe_ent_processes_id_ent_process_fkey
jt_ent_processes_ent_it_systems_join,uid,bigint,NO,null,null,null,null
jt_ent_processes_ent_it_systems_join,ent_processes_id,character varying,NO,null,ent_processes,year,jt_ent_processes_ent_it_syste_ent_processes_id_ent_process_fkey
jt_ent_processes_ent_it_systems_join,ent_processes_id,character varying,NO,null,ent_processes,id,jt_ent_processes_ent_it_syste_ent_processes_id_ent_process_fkey
jt_ent_processes_ent_it_systems_join,ent_processes_year,integer,NO,null,ent_processes,id,jt_ent_processes_ent_it_syste_ent_processes_id_ent_process_fkey
jt_ent_processes_ent_it_systems_join,ent_processes_year,integer,NO,null,ent_processes,year,jt_ent_processes_ent_it_syste_ent_processes_id_ent_process_fkey
jt_ent_processes_ent_it_systems_join,ent_it_systems_id,character varying,NO,null,ent_it_systems,id,jt_ent_processes_ent_it_syste_ent_it_systems_id_ent_it_sys_fkey
jt_ent_processes_ent_it_systems_join,ent_it_systems_id,character varying,NO,null,ent_it_systems,year,jt_ent_processes_ent_it_syste_ent_it_systems_id_ent_it_sys_fkey
